Track,Artist,Album,Year,Duration,Danceability,Loudness,Acousticness,Instrumentalness,Tempo,Popularity
Moonlight in Vermont,Karl-Martin Almqvist,A Ballad Moment,2000,317545,476,-9.212,886,632,110.15,36
A New England,Kirsty MacColl,The Stiff Singles Collection,1985,232853,454,-10.921,195,184,165.001,39
All I Ever Wanted,Kirsty MacColl,Electric Landlady (Deluxe Edition),1989,230226,604,-7.461,396,663,142.569,10
Days,Kirsty MacColl,Kite (Deluxe Edition),1989,180466,563,-6.627,193,0,97.996,40
Innocence,Kirsty MacColl,Kite (Deluxe Edition),1990,249786,416,-4.379,0.31,0,179.115,16
There's A Guy Works Down The Chip Shop Swears He's Elvis,Kirsty MacColl,Desperate Character,1981,189356,369,-8.86,641,67,172.823,36
They Don’t Know,Kirsty MacColl,The Stiff Singles Collection,1981,186226,552,-9.474,277,0,112.267,31
Titanic Days,Kirsty MacColl,Titanic Days,1985,343333,304,-9.43,114,127,104.355,11
Eduze NeNkosi,Ladysmith Black Mambazo,My Dream - African Sounds,1989,247853,413,-7.021,882,0,120.712,1
Mbube (The Lion Sleeps Tonight),Ladysmith Black Mambazo,Gift Of The Tortoise: A Musical Journey Through Southern Africa,1987,190040,0.44,-17.254,917,0,104.349,19
Mbube (Wimoweh),Ladysmith Black Mambazo,Africa in Harmony: 50th Anniversary Edition,1987,181099,552,-8.396,0.94,0,102.425,34
Mbude,Ladysmith Black Mambazo,Ladysmith Black Mambazo & Friends,2001,238720,485,-7.429,0.9,0,109.48,6
Shosholoza,Ladysmith Black Mambazo,Ladysmith Black Mambazo & Friends,1996,291293,0.41,-6.698,834,328,95.23,14
A Lotus on Irish Streams (with John McLaughlin) - Remastered,Mahavishnu Orchestra,The Inner Mounting Flame,1973,339360,297,-16.631,963,848,90.029,17
Meeting of the Spirits (with John McLaughlin) - Remastered,Mahavishnu Orchestra,The Inner Mounting Flame,1973,411986,224,-9.918,324,0.57,126.502,23
The Dance of Maya (with John McLaughlin) - Remastered,Mahavishnu Orchestra,The Inner Mounting Flame,2002,436506,279,-9.49,453,931,129.15,17
King Kong Five,Mano Negra,Puta's Fever,1988,117706,695,-8.945,358,0,106.874,44
Mala Vida,Mano Negra,Patchanka,1988,174973,591,-9.205,187,182,128.698,56
Out of Time Man,Mano Negra,King Of Bongo,1991,204960,646,-8.521,735,0,141.904,56
Ronde de nuit,Mano Negra,Patchanka,1988,177706,593,-10.216,141,244,121.236,30
Santa Maradona (Larchuma Football Club),Mano Negra,Casa Babylon,1994,195960,347,-4.287,142,111,119.917,38
Senor Matanza,Mano Negra,Casa Babylon,1994,237640,722,-7.396,434,644,191.832,48
Bongo Bong,Manu Chao,Clandestino,1998,158426,755,-10.027,944,118,149.807,71
Bongo Bong - Je ne t'aime plus (Francis Mercier Remix),Manu Chao,Bongo Bong - Je ne t'aime plus (Francis Mercier Remix),2012,184218,823,-3.783,207,327,128.004,50
